combo_num,combination,ext_variant,int_variant,dssp_accuracy,dssp_correct,dssp_total,stride_accuracy,stride_correct,stride_total,n_exterior,n_interior,n_intermediate
1,current+current,current,current,0.8847262247838616,307,347,0.8530259365994236,296,347,39,214,94
5,var1+current,var1,current,0.8847262247838616,307,347,0.8645533141210374,300,347,8,220,119
9,var2+current,var2,current,0.8847262247838616,307,347,0.8645533141210374,300,347,0,220,127
13,var3+current,var3,current,0.8818443804034583,306,347,0.8559077809798271,297,347,27,215,105
7,var1+2var,var1,2var,0.8587896253602305,298,347,0.8328530259365994,289,347,8,193,146
11,var2+2var,var2,2var,0.8587896253602305,298,347,0.8328530259365994,289,347,0,193,154
15,var3+2var,var3,2var,0.8530259365994236,296,347,0.8270893371757925,287,347,30,191,126
3,current+2var,current,2var,0.8530259365994236,296,347,0.8270893371757925,287,347,43,191,113
10,var2+1var,var2,1var,0.8270893371757925,287,347,0.8126801152737753,282,347,0,254,93
6,var1+1var,var1,1var,0.8270893371757925,287,347,0.8126801152737753,282,347,8,254,85
2,current+1var,current,1var,0.8270893371757925,287,347,0.7953890489913544,276,347,37,246,64
14,var3+1var,var3,1var,0.8242074927953891,286,347,0.7982708933717579,277,347,25,247,75
8,var1+3var,var1,3var,0.7406340057636888,257,347,0.69164265129683,240,347,8,132,207
4,current+3var,current,3var,0.7406340057636888,257,347,0.69164265129683,240,347,45,132,170
12,var2+3var,var2,3var,0.7406340057636888,257,347,0.69164265129683,240,347,0,132,215
16,var3+3var,var3,3var,0.7406340057636888,257,347,0.69164265129683,240,347,32,132,183
