combo_num,combination,ext_variant,int_variant,dssp_accuracy,dssp_correct,dssp_total,stride_accuracy,stride_correct,stride_total,n_exterior,n_interior,n_intermediate
5,var1+current,var1,current,0.8417849898580122,415,493,0.7565922920892495,373,493,4,285,204
9,var2+current,var2,current,0.8397565922920892,414,493,0.7545638945233266,372,493,1,286,206
13,var3+current,var3,current,0.8377281947261663,413,493,0.7403651115618661,365,493,8,273,212
1,current+current,current,current,0.8377281947261663,413,493,0.7403651115618661,365,493,36,273,184
7,var1+2var,var1,2var,0.8235294117647058,406,493,0.7221095334685599,356,493,5,258,230
11,var2+2var,var2,2var,0.8235294117647058,406,493,0.7221095334685599,356,493,1,258,234
15,var3+2var,var3,2var,0.8154158215010142,402,493,0.7058823529411765,348,493,13,250,230
3,current+2var,current,2var,0.8154158215010142,402,493,0.7058823529411765,348,493,41,250,202
2,current+1var,current,1var,0.7464503042596349,368,493,0.7383367139959433,364,493,25,364,104
6,var1+1var,var1,1var,0.7281947261663286,359,493,0.744421906693712,367,493,4,387,102
10,var2+1var,var2,1var,0.7261663286004056,358,493,0.742393509127789,366,493,1,388,104
14,var3+1var,var3,1var,0.7241379310344828,357,493,0.7281947261663286,359,493,8,375,110
8,var1+3var,var1,3var,0.7139959432048681,352,493,0.5841784989858012,288,493,5,158,330
4,current+3var,current,3var,0.7139959432048681,352,493,0.5841784989858012,288,493,49,158,286
12,var2+3var,var2,3var,0.7139959432048681,352,493,0.5841784989858012,288,493,1,158,334
16,var3+3var,var3,3var,0.7139959432048681,352,493,0.5841784989858012,288,493,21,158,314
