combo_num,combination,ext_variant,int_variant,dssp_accuracy,dssp_correct,dssp_total,stride_accuracy,stride_correct,stride_total,n_exterior,n_interior,n_intermediate
5,var1+current,var1,current,0.8690969345484673,1049,1207,0.6917978458989229,835,1207,26,844,337
9,var2+current,var2,current,0.8666114333057167,1046,1207,0.6893123446561723,832,1207,2,847,358
11,var2+2var,var2,2var,0.8624689312344657,1041,1207,0.6917978458989229,835,1207,2,776,429
7,var1+2var,var1,2var,0.8624689312344657,1041,1207,0.6917978458989229,835,1207,29,776,402
1,current+current,current,current,0.851698425849213,1028,1207,0.6843413421706711,826,1207,120,807,280
13,var3+current,var3,current,0.8492129246064622,1025,1207,0.6818558409279205,823,1207,56,810,341
3,current+2var,current,2var,0.8492129246064622,1025,1207,0.6818558409279205,823,1207,140,756,311
15,var3+2var,var3,2var,0.8475559237779619,1023,1207,0.68019884009942,821,1207,75,758,374
6,var1+1var,var1,1var,0.7738193869096934,934,1207,0.6661143330571665,804,1207,26,1019,162
10,var2+1var,var2,1var,0.7713338856669428,931,1207,0.6636288318144159,801,1207,2,1022,183
2,current+1var,current,1var,0.7696768848384424,929,1207,0.6603148301574151,797,1207,96,958,153
14,var3+1var,var3,1var,0.7531068765534383,909,1207,0.6553438276719138,791,1207,53,982,172
8,var1+3var,var1,3var,0.7100248550124275,857,1207,0.6072908036454018,733,1207,29,504,674
4,current+3var,current,3var,0.7100248550124275,857,1207,0.6072908036454018,733,1207,160,504,543
12,var2+3var,var2,3var,0.7100248550124275,857,1207,0.6072908036454018,733,1207,2,504,701
16,var3+3var,var3,3var,0.7100248550124275,857,1207,0.6072908036454018,733,1207,93,504,610
