combo_num,combination,ext_variant,int_variant,dssp_accuracy,dssp_correct,dssp_total,stride_accuracy,stride_correct,stride_total,n_exterior,n_interior,n_intermediate
7,var1+2var,var1,2var,0.9078947368421053,207,228,0.7104072398190046,157,221,12,112,104
11,var2+2var,var2,2var,0.9078947368421053,207,228,0.7104072398190046,157,221,2,112,114
15,var3+2var,var3,2var,0.9035087719298246,206,228,0.7058823529411765,156,221,27,111,90
3,current+2var,current,2var,0.9035087719298246,206,228,0.7058823529411765,156,221,29,111,88
8,var1+3var,var1,3var,0.8859649122807017,202,228,0.7149321266968326,158,221,12,101,115
13,var3+current,var3,current,0.8859649122807017,202,228,0.6787330316742082,150,221,25,121,82
4,current+3var,current,3var,0.8859649122807017,202,228,0.7149321266968326,158,221,30,101,97
1,current+current,current,current,0.8859649122807017,202,228,0.6787330316742082,150,221,27,121,80
16,var3+3var,var3,3var,0.8859649122807017,202,228,0.7149321266968326,158,221,28,101,99
12,var2+3var,var2,3var,0.8859649122807017,202,228,0.7149321266968326,158,221,2,101,125
5,var1+current,var1,current,0.881578947368421,201,228,0.6742081447963801,149,221,12,124,92
9,var2+current,var2,current,0.881578947368421,201,228,0.6742081447963801,149,221,2,124,102
2,current+1var,current,1var,0.6403508771929824,146,228,0.5294117647058824,117,221,25,189,14
14,var3+1var,var3,1var,0.6359649122807017,145,228,0.5248868778280543,116,221,24,190,14
6,var1+1var,var1,1var,0.6271929824561403,143,228,0.5248868778280543,116,221,12,194,22
10,var2+1var,var2,1var,0.6271929824561403,143,228,0.5248868778280543,116,221,2,194,32
